timestamp,air_humidity,air_temperature,soil_moisture,minutes_left,urgency
2023-11-22 00:04:50,53.99,23.60,331.39,40,URGENT
2023-11-22 00:14:54,53.81,23.58,331.25,30,URGENT
2023-11-22 00:24:53,53.77,23.51,331.22,20,URGENT
2023-11-22 00:44:56,54.68,23.52,270.50,0,NOT_NEEDED
2023-11-22 00:54:58,54.05,23.30,270.10,19944,NOT_NEEDED
2023-12-01 07:00:42,52.86,22.41,351.70,6618,NOT_NEEDED
2023-12-01 07:10:44,52.88,22.41,351.75,6608,NOT_NEEDED
2023-12-01 07:20:45,52.85,22.41,351.76,6598,NOT_NEEDED
2023-12-01 07:30:47,52.80,22.41,351.91,6588,NOT_NEEDED
2023-12-01 07:40:48,53.01,22.43,351.85,6578,NOT_NEEDED
2023-12-01 07:50:50,53.16,22.50,351.86,6568,NOT_NEEDED
2023-12-01 08:00:52,53.28,22.50,351.72,6558,NOT_NEEDED
2023-12-01 08:10:53,53.38,22.50,351.94,6548,NOT_NEEDED
2023-12-01 08:20:55,53.25,22.50,351.74,6538,NOT_NEEDED
2023-12-01 08:30:56,53.25,22.50,351.71,6528,NOT_NEEDED
2023-12-01 08:51:00,53.38,22.50,352.03,6508,NOT_NEEDED
2023-12-01 09:01:01,53.42,22.50,351.81,6498,NOT_NEEDED
2023-12-01 09:11:03,53.36,22.54,351.99,6488,NOT_NEEDED
2023-12-01 09:21:04,53.50,22.56,352.00,6478,NOT_NEEDED
2023-12-01 09:31:06,53.45,22.58,351.87,6468,NOT_NEEDED
2023-12-01 09:41:09,53.45,22.60,352.09,6458,NOT_NEEDED
2023-12-01 09:51:09,53.66,22.65,352.28,6448,NOT_NEEDED
2023-12-01 10:01:11,53.71,22.69,352.37,6438,NOT_NEEDED
2023-12-01 10:11:12,53.74,22.70,352.38,6428,NOT_NEEDED
2023-12-01 10:21:14,53.76,22.70,352.39,6418,NOT_NEEDED
2023-12-01 10:31:15,53.48,22.70,352.31,6408,NOT_NEEDED
2023-12-01 10:41:17,53.60,22.70,352.61,6398,NOT_NEEDED
2023-12-01 10:51:19,53.62,22.71,352.79,6387,NOT_NEEDED
2023-12-01 11:01:20,53.46,22.75,352.82,6377,NOT_NEEDED
2023-12-01 11:11:22,53.54,22.78,353.02,6367,NOT_NEEDED
2023-12-01 11:21:23,53.45,22.80,353.05,6357,NOT_NEEDED
2023-12-01 11:31:25,53.31,22.89,353.10,6347,NOT_NEEDED
2023-12-01 11:41:27,53.58,22.94,353.24,6337,NOT_NEEDED
2023-12-01 11:51:28,53.84,23.00,353.21,6327,NOT_NEEDED
2023-12-01 12:01:30,53.97,23.00,353.47,6317,NOT_NEEDED
2023-12-01 12:11:31,54.16,23.03,353.53,6307,NOT_NEEDED
2023-12-01 12:21:33,53.99,23.06,353.62,6297,NOT_NEEDED
2023-12-01 12:31:34,53.89,22.98,353.50,6287,NOT_NEEDED
2023-12-01 12:41:36,53.99,22.94,353.38,6277,NOT_NEEDED
2023-12-01 12:51:37,54.11,22.92,353.33,6267,NOT_NEEDED
2023-12-01 13:01:39,53.29,22.90,353.50,6257,NOT_NEEDED
2023-12-01 13:11:41,53.82,22.90,353.45,6247,NOT_NEEDED
2023-12-01 13:21:42,54.06,22.90,353.48,6237,NOT_NEEDED
2023-12-01 13:31:44,54.01,22.90,353.42,6227,NOT_NEEDED
2023-12-01 13:41:45,54.07,22.90,353.40,6217,NOT_NEEDED
2023-12-01 13:51:47,54.49,22.88,353.44,6207,NOT_NEEDED
2023-12-01 14:01:48,54.28,22.87,353.45,6197,NOT_NEEDED
2023-12-01 14:11:50,54.36,22.84,353.43,6187,NOT_NEEDED
2023-12-01 14:21:51,54.24,22.82,353.48,6177,NOT_NEEDED
2023-12-01 14:31:53,54.24,22.81,353.43,6167,NOT_NEEDED
2023-12-01 14:41:57,54.33,22.81,353.43,6157,NOT_NEEDED
2023-12-01 14:51:58,54.42,22.81,353.41,6147,NOT_NEEDED
2023-12-01 15:02:00,54.65,22.84,353.30,6137,NOT_NEEDED
2023-12-01 15:12:01,54.80,22.85,353.32,6127,NOT_NEEDED
2023-12-01 15:22:05,54.92,22.87,353.45,6117,NOT_NEEDED
2023-12-01 15:32:04,55.16,22.86,353.49,6107,NOT_NEEDED
2023-12-01 15:42:06,55.30,22.84,353.45,6097,NOT_NEEDED
2023-12-01 15:52:07,55.45,22.85,353.40,6087,NOT_NEEDED
2023-12-01 16:02:09,55.58,22.87,353.42,6077,NOT_NEEDED
2023-12-01 16:12:11,55.47,22.90,353.37,6067,NOT_NEEDED
2023-12-01 16:22:12,55.53,22.90,353.44,6057,NOT_NEEDED
2023-12-01 16:32:14,56.11,22.92,353.65,6047,NOT_NEEDED
2023-12-01 16:42:15,57.30,23.03,353.79,6037,NOT_NEEDED
2023-12-01 16:52:17,56.56,23.09,353.98,6026,NOT_NEEDED
2023-12-01 17:02:20,56.06,23.12,353.92,6016,NOT_NEEDED
2023-12-01 17:12:20,55.19,23.06,353.91,6006,NOT_NEEDED
2023-12-01 17:22:22,54.71,23.02,353.87,5996,NOT_NEEDED
2023-12-01 17:32:23,54.37,22.99,353.92,5986,NOT_NEEDED
2023-12-01 17:42:25,54.86,22.92,353.93,5976,NOT_NEEDED
2023-12-01 17:52:26,54.57,22.97,353.83,5966,NOT_NEEDED
2023-12-01 18:02:28,53.64,23.03,353.97,5956,NOT_NEEDED
2023-12-01 18:12:29,53.78,22.97,354.03,5946,NOT_NEEDED
2023-12-01 18:22:31,53.87,22.91,353.89,5936,NOT_NEEDED
2023-12-01 18:32:32,53.99,22.90,353.87,5926,NOT_NEEDED
2023-12-01 18:42:34,53.88,22.90,353.81,5916,NOT_NEEDED
2023-12-01 18:52:35,53.94,22.90,353.80,5906,NOT_NEEDED
2023-12-01 19:02:37,54.09,22.82,353.87,5896,NOT_NEEDED
2023-12-01 19:12:39,54.24,22.80,353.73,5886,NOT_NEEDED
2023-12-01 19:22:40,54.42,22.80,353.79,5876,NOT_NEEDED
2023-12-01 19:32:42,54.34,22.79,353.70,5866,NOT_NEEDED
2023-12-01 19:42:43,54.28,22.77,353.59,5856,NOT_NEEDED
2023-12-01 19:52:45,54.26,22.74,353.78,5846,NOT_NEEDED
2023-12-01 20:02:46,54.13,22.72,353.58,5836,NOT_NEEDED
2023-12-01 20:12:48,54.13,22.72,353.68,5826,NOT_NEEDED
2023-12-01 20:22:49,54.17,22.72,353.78,5816,NOT_NEEDED
2023-12-01 20:32:51,54.13,22.72,353.82,5806,NOT_NEEDED
2023-12-01 20:42:53,54.12,22.72,353.77,5796,NOT_NEEDED
2023-12-01 20:52:54,53.97,22.71,353.74,5786,NOT_NEEDED
2023-12-01 21:02:56,53.98,22.70,353.81,5776,NOT_NEEDED
2023-12-01 21:12:57,53.98,22.70,353.73,5766,NOT_NEEDED
2023-12-01 21:22:59,53.93,22.70,353.69,5756,NOT_NEEDED
2023-12-01 21:33:00,53.97,22.74,353.67,5746,NOT_NEEDED
2023-12-01 21:43:02,54.03,22.79,353.57,5736,NOT_NEEDED
2023-12-01 21:53:03,54.28,22.80,353.75,5726,NOT_NEEDED
2023-12-01 22:03:05,54.19,22.80,353.77,5716,NOT_NEEDED
2023-12-01 22:13:07,54.14,22.80,353.88,5706,NOT_NEEDED
2023-12-01 22:23:08,54.10,22.80,353.82,5696,NOT_NEEDED
2023-12-01 22:33:12,53.91,22.80,353.83,5686,NOT_NEEDED
2023-12-01 22:43:13,53.98,22.79,353.92,5676,NOT_NEEDED
2023-12-01 22:53:15,53.85,22.79,353.87,5666,NOT_NEEDED
2023-12-01 23:03:16,53.87,22.79,353.87,5656,NOT_NEEDED
2023-12-01 23:13:20,53.83,22.78,353.91,5645,NOT_NEEDED
2023-12-01 23:23:21,53.89,22.79,353.95,5635,NOT_NEEDED
2023-12-01 23:33:23,53.89,22.80,353.92,5625,NOT_NEEDED
2023-12-01 23:43:24,53.90,22.80,353.91,5615,NOT_NEEDED
2023-12-01 23:53:26,53.82,22.80,353.91,5605,NOT_NEEDED
2023-12-02 00:03:27,53.76,22.80,353.91,5595,NOT_NEEDED
2023-12-02 00:13:29,53.74,22.80,353.95,5585,NOT_NEEDED
2023-12-02 00:23:31,53.70,22.80,354.01,5575,NOT_NEEDED
2023-12-02 00:33:32,53.58,22.80,354.02,5565,NOT_NEEDED
2023-12-02 00:43:34,53.52,22.79,354.16,5555,NOT_NEEDED
2023-12-02 00:53:35,53.41,22.79,354.06,5545,NOT_NEEDED
2023-12-02 01:03:37,53.43,22.80,354.08,5535,NOT_NEEDED
2023-12-02 01:13:39,53.50,22.80,354.04,5525,NOT_NEEDED
2023-12-02 01:23:40,53.48,22.80,354.10,5515,NOT_NEEDED
2023-12-02 01:33:42,53.53,22.80,354.16,5505,NOT_NEEDED
2023-12-02 01:43:45,53.54,22.80,354.11,5495,NOT_NEEDED
2023-12-02 01:53:47,53.60,22.80,354.10,5485,NOT_NEEDED
2023-12-02 02:03:50,53.48,22.80,354.00,5475,NOT_NEEDED
2023-12-02 02:13:52,53.41,22.80,354.09,5465,NOT_NEEDED
2023-12-02 02:23:54,53.33,22.80,354.10,5455,NOT_NEEDED
2023-12-02 02:33:57,53.35,22.80,354.14,5445,NOT_NEEDED
2023-12-02 02:43:57,53.39,22.80,354.09,5435,NOT_NEEDED
2023-12-02 02:53:58,53.45,22.81,354.15,5425,NOT_NEEDED
